coords: (7; 444); position: (1; 0); value: 0
coords: (16; 150); position: (1; 0); value: 0
coords: (28; 287); position: (1; 0); value: 0
coords: (29; 139); position: (0; 1); value: 0
coords: (29; 140); position: (1; 0); value: 0
coords: (29; 141); position: (0; 1); value: 0
coords: (29; 141); position: (1; 0); value: 0
coords: (41; 103); position: (1; 0); value: 0
coords: (60; 224); position: (1; 0); value: 0
coords: (60; 225); position: (1; 0); value: 0
coords: (61; 223); position: (0; 1); value: 0
coords: (61; 224); position: (1; 0); value: 0
coords: (61; 225); position: (0; 1); value: 0
coords: (61; 225); position: (1; 0); value: 0
coords: (62; 223); position: (0; 1); value: 0
coords: (62; 224); position: (1; 0); value: 0
coords: (62; 224); position: (1; 1); value: 0
coords: (62; 225); position: (0; 1); value: 0
coords: (62; 225); position: (1; 0); value: 0
coords: (62; 225); position: (1; 1); value: 0
coords: (62; 226); position: (0; 1); value: 0
coords: (62; 226); position: (1; 0); value: 0
coords: (75; 295); position: (1; 0); value: 0
coords: (76; 293); position: (1; 0); value: 0
coords: (78; 301); position: (0; 1); value: 1
coords: (79; 301); position: (0; 1); value: 1
coords: (81; 302); position: (0; 1); value: 0
coords: (87; 303); position: (0; 1); value: 0
coords: (92; 390); position: (1; 0); value: 0
coords: (94; 290); position: (1; 0); value: 0
coords: (94; 298); position: (1; 0); value: 1
coords: (95; 291); position: (1; 0); value: 0
coords: (95; 295); position: (1; 0); value: 1
coords: (96; 293); position: (1; 0); value: 0
coords: (100; 287); position: (1; 0); value: 1
coords: (100; 288); position: (1; 0); value: 5
coords: (100; 288); position: (1; 1); value: 1
coords: (100; 289); position: (1; 0); value: 3
coords: (100; 289); position: (1; 1); value: 1
coords: (100; 290); position: (1; 0); value: 2
coords: (100; 290); position: (1; 1); value: 1
coords: (100; 291); position: (1; 0); value: 1
coords: (100; 509); position: (1; 0); value: 0
coords: (100; 510); position: (1; 0); value: 3
coords: (100; 510); position: (1; 1); value: 0
coords: (100; 511); position: (1; 0); value: 2
coords: (101; 286); position: (0; 1); value: 3
coords: (101; 286); position: (1; 0); value: 0
coords: (101; 286); position: (1; 1); value: 1
coords: (101; 287); position: (0; 1); value: 1
coords: (101; 287); position: (1; 0); value: 1
coords: (101; 287); position: (1; 1); value: 0
coords: (101; 288); position: (1; 0); value: 0
coords: (101; 288); position: (1; 1); value: 0
coords: (101; 289); position: (0; 1); value: 1
coords: (101; 289); position: (1; 0); value: 5
coords: (101; 289); position: (1; 1); value: 0
coords: (101; 290); position: (0; 1); value: 1
coords: (101; 290); position: (1; 0); value: 3
coords: (101; 290); position: (1; 1); value: 0
coords: (101; 291); position: (0; 1); value: 1
coords: (101; 291); position: (1; 0); value: 3
coords: (101; 505); position: (1; 0); value: 0
coords: (101; 506); position: (1; 0); value: 1
coords: (101; 506); position: (1; 1); value: 1
coords: (101; 507); position: (1; 0); value: 0
coords: (101; 507); position: (1; 1); value: 1
coords: (101; 508); position: (1; 0); value: 2
coords: (101; 508); position: (1; 1); value: 0
coords: (101; 509); position: (0; 1); value: 1
coords: (101; 509); position: (1; 0); value: 5
coords: (101; 509); position: (1; 1); value: 3
coords: (101; 510); position: (1; 0); value: 2
coords: (101; 511); position: (1; 0); value: 1
coords: (102; 285); position: (0; 1); value: 0
coords: (102; 285); position: (1; 1); value: 0
coords: (102; 286); position: (0; 1); value: 0
coords: (102; 286); position: (1; 0); value: 3
coords: (102; 286); position: (1; 1); value: 2
coords: (102; 287); position: (0; 1); value: 2
coords: (102; 287); position: (1; 0); value: 0
coords: (102; 287); position: (1; 1); value: 3
coords: (102; 288); position: (1; 0); value: 1
coords: (102; 288); position: (1; 1); value: 0
coords: (102; 289); position: (0; 1); value: 0
coords: (102; 289); position: (1; 0); value: 1
coords: (102; 290); position: (0; 1); value: 4
coords: (102; 290); position: (1; 0); value: 1
coords: (102; 291); position: (0; 1); value: 3
coords: (102; 291); position: (1; 0); value: 2
coords: (102; 292); position: (1; 0); value: 1
coords: (102; 504); position: (0; 1); value: 0
coords: (102; 504); position: (1; 0); value: 0
coords: (102; 504); position: (1; 1); value: 1
coords: (102; 505); position: (0; 1); value: 0
coords: (102; 505); position: (1; 0); value: 0
coords: (102; 505); position: (1; 1); value: 0
coords: (102; 506); position: (1; 0); value: 0
coords: (102; 507); position: (0; 1); value: 1
coords: (102; 507); position: (1; 0); value: 2
coords: (102; 507); position: (1; 1); value: 1
coords: (102; 508); position: (0; 1); value: 0
coords: (102; 508); position: (1; 0); value: 1
coords: (102; 508); position: (1; 1); value: 0
coords: (102; 509); position: (0; 1); value: 1
coords: (102; 509); position: (1; 0); value: 3
coords: (102; 510); position: (1; 0); value: 0
coords: (102; 510); position: (1; 1); value: 1
coords: (102; 511); position: (1; 0); value: 2
coords: (102; 511); position: (1; 1); value: 0
coords: (103; 285); position: (0; 1); value: 4
coords: (103; 285); position: (1; 1); value: 0
coords: (103; 286); position: (0; 1); value: 1
coords: (103; 286); position: (1; 0); value: 1
coords: (103; 286); position: (1; 1); value: 2
coords: (103; 287); position: (0; 1); value: 1
coords: (103; 287); position: (1; 0); value: 1
coords: (103; 287); position: (1; 1); value: 0
coords: (103; 289); position: (0; 1); value: 1
coords: (103; 290); position: (0; 1); value: 4
coords: (103; 290); position: (1; 1); value: 1
coords: (103; 291); position: (0; 1); value: 2
coords: (103; 291); position: (1; 0); value: 1
coords: (103; 291); position: (1; 1); value: 1
coords: (103; 292); position: (0; 1); value: 0
coords: (103; 292); position: (1; 1); value: 0
coords: (103; 502); position: (1; 0); value: 3
coords: (103; 503); position: (0; 1); value: 1
coords: (103; 503); position: (1; 0); value: 6
coords: (103; 503); position: (1; 1); value: 1
coords: (103; 504); position: (0; 1); value: 0
coords: (103; 504); position: (1; 0); value: 6
coords: (103; 504); position: (1; 1); value: 1
coords: (103; 505); position: (0; 1); value: 0
coords: (103; 505); position: (1; 0); value: 1
coords: (103; 507); position: (1; 0); value: 0
coords: (103; 508); position: (0; 1); value: 1
coords: (103; 508); position: (1; 0); value: 3
coords: (103; 508); position: (1; 1); value: 0
coords: (103; 509); position: (1; 0); value: 2
coords: (103; 509); position: (1; 1); value: 0
