coords: (0; 0); position: (0; 1); value: 0
coords: (0; 1); position: (1; 0); value: 0
coords: (0; 3); position: (0; 1); value: 0
coords: (0; 5); position: (0; 1); value: 0
coords: (0; 6); position: (0; 1); value: 0
coords: (0; 6); position: (1; 0); value: 0
coords: (0; 19); position: (0; 1); value: 0
coords: (0; 20); position: (0; 1); value: 0
coords: (0; 22); position: (0; 1); value: 0
coords: (0; 23); position: (1; 0); value: 0
coords: (0; 24); position: (0; 1); value: 0
coords: (0; 26); position: (1; 0); value: 0
coords: (0; 29); position: (0; 1); value: 0
coords: (0; 30); position: (0; 1); value: 0
coords: (0; 39); position: (0; 1); value: 0
coords: (0; 40); position: (0; 1); value: 0
coords: (0; 41); position: (1; 0); value: 0
coords: (0; 42); position: (0; 1); value: 0
coords: (0; 47); position: (0; 1); value: 0
coords: (0; 50); position: (1; 0); value: 0
coords: (0; 53); position: (0; 1); value: 0
coords: (0; 53); position: (1; 0); value: 0
coords: (0; 53); position: (1; 1); value: 0
coords: (0; 54); position: (0; 1); value: 0
coords: (0; 55); position: (1; 0); value: 0
coords: (0; 56); position: (0; 1); value: 0
coords: (0; 57); position: (1; 0); value: 0
coords: (0; 71); position: (1; 0); value: 0
coords: (0; 72); position: (0; 1); value: 1
coords: (0; 73); position: (0; 1); value: 0
coords: (0; 74); position: (0; 1); value: 0
coords: (0; 74); position: (1; 0); value: 1
coords: (0; 88); position: (0; 1); value: 0
coords: (0; 90); position: (1; 0); value: 1
coords: (0; 95); position: (0; 1); value: 0
coords: (0; 95); position: (1; 0); value: 0
coords: (0; 95); position: (1; 1); value: 1
coords: (0; 100); position: (0; 1); value: 1
coords: (0; 106); position: (1; 0); value: 1
coords: (0; 110); position: (0; 1); value: 1
coords: (0; 111); position: (1; 0); value: 0
coords: (0; 114); position: (1; 0); value: 1
coords: (0; 115); position: (0; 1); value: 1
coords: (0; 116); position: (0; 1); value: 0
coords: (0; 116); position: (1; 0); value: 1
coords: (0; 126); position: (0; 1); value: 0
coords: (0; 134); position: (1; 0); value: 0
coords: (0; 139); position: (0; 1); value: 0
coords: (0; 141); position: (1; 0); value: 0
coords: (0; 149); position: (1; 0); value: 0
coords: (0; 157); position: (0; 1); value: 1
coords: (0; 163); position: (0; 1); value: 0
coords: (0; 163); position: (1; 0); value: 0
coords: (0; 163); position: (1; 1); value: 0
coords: (0; 171); position: (1; 0); value: 0
coords: (0; 172); position: (1; 0); value: 0
coords: (0; 178); position: (0; 1); value: 0
coords: (0; 180); position: (0; 1); value: 1
coords: (0; 188); position: (0; 1); value: 1
coords: (0; 189); position: (0; 1); value: 0
coords: (0; 226); position: (0; 1); value: 1
coords: (0; 251); position: (1; 0); value: 1
coords: (0; 262); position: (0; 1); value: 0
coords: (0; 305); position: (1; 0); value: 1
coords: (0; 331); position: (1; 0); value: 0
coords: (0; 359); position: (0; 1); value: 1
coords: (1; 7); position: (0; 1); value: 1
coords: (1; 7); position: (1; 0); value: 1
coords: (1; 7); position: (1; 1); value: 1
coords: (1; 19); position: (0; 1); value: 0
coords: (1; 19); position: (1; 0); value: 0
coords: (1; 19); position: (1; 1); value: 1
coords: (1; 22); position: (1; 0); value: 0
coords: (1; 25); position: (1; 0); value: 0
coords: (1; 29); position: (0; 1); value: 1
coords: (1; 29); position: (1; 0); value: 0
coords: (1; 38); position: (0; 1); value: 0
coords: (1; 39); position: (0; 1); value: 0
coords: (1; 39); position: (1; 0); value: 0
coords: (1; 42); position: (0; 1); value: 0
coords: (1; 42); position: (1; 1); value: 0
coords: (1; 43); position: (1; 0); value: 1
coords: (1; 54); position: (0; 1); value: 1
coords: (1; 55); position: (0; 1); value: 0
coords: (1; 57); position: (0; 1); value: 0
coords: (1; 71); position: (1; 0); value: 1
coords: (1; 73); position: (1; 0); value: 1
coords: (1; 74); position: (1; 0); value: 1
coords: (1; 76); position: (1; 0); value: 0
coords: (1; 94); position: (0; 1); value: 1
coords: (1; 95); position: (0; 1); value: 1
coords: (1; 96); position: (1; 0); value: 0
coords: (1; 100); position: (0; 1); value: 1
coords: (1; 107); position: (0; 1); value: 1
coords: (1; 108); position: (0; 1); value: 1
coords: (1; 113); position: (0; 1); value: 1
coords: (1; 114); position: (1; 0); value: 0
coords: (1; 115); position: (0; 1); value: 1
coords: (1; 118); position: (1; 0); value: 1
coords: (1; 122); position: (1; 0); value: 0
coords: (1; 123); position: (0; 1); value: 0
coords: (1; 124); position: (1; 0); value: 1
coords: (1; 125); position: (0; 1); value: 0
coords: (1; 132); position: (0; 1); value: 0
